invoice_id,customer_id,customer_name,invoice_date,due_date,payment_terms,invoice_amount,open_balance,dispute_flag,dispute_reason
INV-10001,C001,Cascade Industrial Group,2026-04-24,2026-06-23,Net 60,66910,66910,N,
INV-10002,C001,Cascade Industrial Group,2026-04-21,2026-06-20,Net 60,60050,60050,N,
INV-10003,C001,Cascade Industrial Group,2026-04-18,2026-06-17,Net 60,44230,44230,N,
INV-10004,C001,Cascade Industrial Group,2026-04-10,2026-06-09,Net 60,43190,43190,N,
INV-10005,C001,Cascade Industrial Group,2026-03-21,2026-05-20,Net 60,58980,58980,N,
INV-10006,C001,Cascade Industrial Group,2026-03-12,2026-05-11,Net 60,78150,78150,N,
INV-10007,C002,Northwind Manufacturing,2026-04-04,2026-06-03,Net 60,92550,92550,N,
INV-10008,C002,Northwind Manufacturing,2026-03-27,2026-05-26,Net 60,154870,154870,N,
INV-10009,C002,Northwind Manufacturing,2026-03-13,2026-05-12,Net 60,98090,98090,N,
INV-10010,C002,Northwind Manufacturing,2026-02-27,2026-04-28,Net 60,71160,71160,N,
INV-10011,C002,Northwind Manufacturing,2026-02-24,2026-04-25,Net 60,58890,58890,N,
INV-10012,C003,Sterling Components Corp,2026-04-21,2026-06-05,Net 45,51470,51470,N,
INV-10013,C003,Sterling Components Corp,2026-04-08,2026-05-23,Net 45,42120,42120,N,
INV-10014,C003,Sterling Components Corp,2026-04-08,2026-05-23,Net 45,100010,100010,N,
INV-10015,C003,Sterling Components Corp,2026-03-30,2026-05-14,Net 45,83870,83870,N,
INV-10016,C003,Sterling Components Corp,2026-03-25,2026-05-09,Net 45,60610,60610,N,
INV-10017,C003,Sterling Components Corp,2026-03-22,2026-05-06,Net 45,51010,51010,N,
INV-10018,C004,Pacifica Materials Co,2026-04-21,2026-06-05,Net 45,44560,44560,N,
INV-10019,C004,Pacifica Materials Co,2026-04-20,2026-06-04,Net 45,39230,39230,N,
INV-10020,C004,Pacifica Materials Co,2026-04-03,2026-05-18,Net 45,44160,44160,N,
INV-10021,C004,Pacifica Materials Co,2026-03-30,2026-05-14,Net 45,26060,26060,N,
INV-10022,C004,Pacifica Materials Co,2026-03-28,2026-05-12,Net 45,46890,46890,N,
INV-10023,C004,Pacifica Materials Co,2026-03-23,2026-05-07,Net 45,34660,34660,N,
INV-10024,C005,Granite Peak Industries,2026-04-23,2026-06-07,Net 45,33370,33370,N,
INV-10025,C005,Granite Peak Industries,2026-04-21,2026-06-05,Net 45,59460,59460,N,
INV-10026,C005,Granite Peak Industries,2026-04-10,2026-05-25,Net 45,30700,30700,N,
INV-10027,C005,Granite Peak Industries,2026-04-01,2026-05-16,Net 45,54260,54260,N,
INV-10028,C005,Granite Peak Industries,2026-03-25,2026-05-09,Net 45,68690,68690,N,
INV-10029,C005,Granite Peak Industries,2026-03-21,2026-05-05,Net 45,55110,55110,N,
INV-10030,C006,Birch & Hollow Supply,2026-05-12,2026-06-11,Net 30,19160,19160,N,
INV-10031,C006,Birch & Hollow Supply,2026-05-08,2026-06-07,Net 30,20580,20580,N,
INV-10032,C006,Birch & Hollow Supply,2026-04-15,2026-05-15,Net 30,45050,45050,N,
INV-10033,C006,Birch & Hollow Supply,2026-03-27,2026-04-26,Net 30,31780,31780,N,
INV-10034,C007,Cedar Valley Distribution,2026-05-02,2026-06-16,Net 45,59530,59530,N,
INV-10035,C007,Cedar Valley Distribution,2026-03-21,2026-05-05,Net 45,64570,64570,N,
INV-10036,C008,Riverstone Packaging,2026-04-22,2026-06-06,Net 45,34890,34890,N,
INV-10037,C008,Riverstone Packaging,2026-04-18,2026-06-02,Net 45,42200,42200,N,
INV-10038,C008,Riverstone Packaging,2026-03-09,2026-04-23,Net 45,30050,30050,N,
INV-10039,C009,Halcyon Tool Works,2026-04-12,2026-05-12,Net 30,15100,15100,N,
INV-10040,C009,Halcyon Tool Works,2026-04-03,2026-05-03,Net 30,21700,21700,N,
INV-10041,C009,Halcyon Tool Works,2026-03-31,2026-04-30,Net 30,23030,23030,N,
INV-10042,C009,Halcyon Tool Works,2026-03-27,2026-04-26,Net 30,13400,13400,N,
INV-10043,C010,Brightline Logistics,2026-04-27,2026-06-11,Net 45,30280,30280,N,
INV-10044,C010,Brightline Logistics,2026-04-11,2026-05-26,Net 45,36640,36640,N,
INV-10045,C010,Brightline Logistics,2026-03-28,2026-05-12,Net 45,20770,20770,N,
INV-10046,C011,Copperfield Equipment,2026-04-10,2026-05-10,Net 30,43620,43620,N,
INV-10047,C011,Copperfield Equipment,2026-04-10,2026-05-10,Net 30,38860,38860,N,
INV-10048,C011,Copperfield Equipment,2026-04-02,2026-05-02,Net 30,37360,37360,N,
INV-10049,C012,Aspen Grove Products,2026-05-01,2026-06-15,Net 45,25890,25890,N,
INV-10050,C012,Aspen Grove Products,2026-04-13,2026-05-28,Net 45,29500,29500,N,
INV-10051,C012,Aspen Grove Products,2026-03-25,2026-05-09,Net 45,33030,33030,N,
INV-10052,C012,Aspen Grove Products,2026-03-07,2026-04-21,Net 45,18450,18450,N,
INV-10053,C012,Aspen Grove Products,2026-03-05,2026-04-19,Net 45,36890,36890,N,
INV-10054,C013,Tidewater Fabrication,2026-05-11,2026-06-10,Net 30,11270,11270,N,
INV-10055,C013,Tidewater Fabrication,2026-05-05,2026-06-04,Net 30,7830,7830,Y,Quantity mismatch on receipt
INV-10056,C013,Tidewater Fabrication,2026-04-27,2026-05-27,Net 30,14470,14470,N,
INV-10057,C013,Tidewater Fabrication,2026-04-11,2026-05-11,Net 30,14830,14830,N,
INV-10058,C013,Tidewater Fabrication,2026-04-09,2026-05-09,Net 30,10240,10240,N,
INV-10059,C014,Maple Ridge Hardware,2026-04-25,2026-06-09,Net 45,68880,29100,Y,Missing PO number on invoice
INV-10060,C014,Maple Ridge Hardware,2026-03-18,2026-05-02,Net 45,46810,46810,N,
INV-10061,C015,Lakeshore Components,2026-04-29,2026-05-29,Net 30,21240,21240,N,
INV-10062,C015,Lakeshore Components,2026-04-20,2026-05-20,Net 30,18300,18300,N,
INV-10063,C015,Lakeshore Components,2026-04-04,2026-05-04,Net 30,9800,9800,N,
INV-10064,C016,Vanguard Metalworks,2026-04-22,2026-06-06,Net 45,19660,19660,N,
INV-10065,C016,Vanguard Metalworks,2026-04-22,2026-06-06,Net 45,20460,20460,N,
INV-10066,C016,Vanguard Metalworks,2026-04-10,2026-05-25,Net 45,30590,30590,N,
INV-10067,C016,Vanguard Metalworks,2026-04-07,2026-05-22,Net 45,16390,16390,N,
INV-10068,C016,Vanguard Metalworks,2026-04-01,2026-05-16,Net 45,11670,11670,N,
INV-10069,C016,Vanguard Metalworks,2026-03-03,2026-04-17,Net 45,25030,25030,Y,Freight charges contested
INV-10070,C016,Vanguard Metalworks,2026-03-01,2026-04-15,Net 45,27570,27570,N,
INV-10071,C016,Vanguard Metalworks,2026-02-14,2026-03-31,Net 45,14610,14610,N,
INV-10072,C017,Ironclad Supply Co,2026-05-08,2026-06-22,Net 45,10020,10020,N,
INV-10073,C017,Ironclad Supply Co,2026-05-06,2026-06-20,Net 45,14440,14440,N,
INV-10074,C017,Ironclad Supply Co,2026-04-17,2026-06-01,Net 45,8370,8370,N,
INV-10075,C017,Ironclad Supply Co,2026-04-16,2026-05-31,Net 45,18900,18900,N,
INV-10076,C017,Ironclad Supply Co,2026-03-01,2026-04-15,Net 45,12130,12130,N,
INV-10077,C017,Ironclad Supply Co,2026-02-27,2026-04-13,Net 45,12620,12620,N,
INV-10078,C017,Ironclad Supply Co,2026-02-08,2026-03-25,Net 45,19130,19130,N,
INV-10079,C017,Ironclad Supply Co,2026-02-07,2026-03-24,Net 45,17980,17980,N,
INV-10080,C018,Summit Crest Trading,2026-04-29,2026-05-29,Net 30,12750,12750,N,
INV-10081,C018,Summit Crest Trading,2026-04-28,2026-05-28,Net 30,15350,15350,N,
INV-10082,C018,Summit Crest Trading,2026-04-27,2026-05-27,Net 30,7600,7600,N,
INV-10083,C018,Summit Crest Trading,2026-04-23,2026-05-23,Net 30,11960,11960,N,
INV-10084,C018,Summit Crest Trading,2026-04-19,2026-05-19,Net 30,7760,7760,N,
INV-10085,C018,Summit Crest Trading,2026-03-17,2026-04-16,Net 30,9860,9860,N,
INV-10086,C018,Summit Crest Trading,2026-03-08,2026-04-07,Net 30,14020,14020,N,
INV-10087,C018,Summit Crest Trading,2026-03-05,2026-04-04,Net 30,18230,18230,Y,Damaged goods reported
INV-10088,C019,Delta Bay Wholesale,2026-03-23,2026-04-22,Net 30,31840,31840,N,
INV-10089,C019,Delta Bay Wholesale,2026-03-20,2026-04-19,Net 30,19930,19930,Y,Short shipment claim
INV-10090,C019,Delta Bay Wholesale,2026-03-20,2026-04-19,Net 30,14530,14530,N,
INV-10091,C019,Delta Bay Wholesale,2026-03-15,2026-04-14,Net 30,14450,14450,N,
INV-10092,C019,Delta Bay Wholesale,2026-03-14,2026-04-13,Net 30,30810,30810,N,
INV-10093,C019,Delta Bay Wholesale,2026-02-26,2026-03-28,Net 30,16970,16970,N,
INV-10094,C019,Delta Bay Wholesale,2026-02-15,2026-03-17,Net 30,30130,30130,N,
INV-10095,C020,Pinewood Industrial,2026-05-09,2026-06-08,Net 30,13300,13300,N,
INV-10096,C020,Pinewood Industrial,2026-05-03,2026-06-02,Net 30,11070,11070,N,
INV-10097,C020,Pinewood Industrial,2026-03-31,2026-04-30,Net 30,13740,13740,Y,Missing PO number on invoice
INV-10098,C020,Pinewood Industrial,2026-03-31,2026-04-30,Net 30,10650,10650,N,
INV-10099,C020,Pinewood Industrial,2026-03-15,2026-04-14,Net 30,7060,7060,N,
INV-10100,C020,Pinewood Industrial,2026-03-03,2026-04-02,Net 30,5070,5070,N,
INV-10101,C020,Pinewood Industrial,2026-03-02,2026-04-01,Net 30,6780,6780,N,
INV-10102,C020,Pinewood Industrial,2026-02-24,2026-03-26,Net 30,9160,9160,N,
INV-10103,C021,Crossroads Distributors,2026-04-28,2026-05-28,Net 30,22340,22340,N,
INV-10104,C021,Crossroads Distributors,2026-04-26,2026-05-26,Net 30,48800,48800,N,
INV-10105,C021,Crossroads Distributors,2026-04-08,2026-05-08,Net 30,18470,18470,N,
INV-10106,C021,Crossroads Distributors,2026-04-07,2026-05-07,Net 30,54260,54260,N,
INV-10107,C022,Harbor Point Mfg,2026-05-09,2026-06-08,Net 30,29130,11860,Y,Freight charges contested
INV-10108,C022,Harbor Point Mfg,2026-04-18,2026-05-18,Net 30,31940,31940,N,
INV-10109,C022,Harbor Point Mfg,2026-04-16,2026-05-16,Net 30,23400,9960,Y,Short shipment claim
INV-10110,C022,Harbor Point Mfg,2026-03-21,2026-04-20,Net 30,16800,16800,N,
INV-10111,C023,Redwood Hollow Co,2026-04-20,2026-05-20,Net 30,32940,32940,N,
INV-10112,C023,Redwood Hollow Co,2026-04-17,2026-05-17,Net 30,35640,35640,N,
INV-10113,C023,Redwood Hollow Co,2026-04-12,2026-05-12,Net 30,30840,30840,N,
INV-10114,C023,Redwood Hollow Co,2026-04-01,2026-05-01,Net 30,14310,14310,N,
INV-10115,C023,Redwood Hollow Co,2026-03-30,2026-04-29,Net 30,25540,25540,N,
INV-10116,C023,Redwood Hollow Co,2026-02-27,2026-03-29,Net 30,12480,12480,N,
INV-10117,C023,Redwood Hollow Co,2026-02-25,2026-03-27,Net 30,13370,13370,N,
INV-10118,C023,Redwood Hollow Co,2026-02-17,2026-03-19,Net 30,19070,19070,N,
INV-10119,C024,Stonebridge Parts,2026-04-25,2026-05-25,Net 30,9520,9520,N,
INV-10120,C024,Stonebridge Parts,2026-04-23,2026-05-23,Net 30,10180,10180,N,
INV-10121,C024,Stonebridge Parts,2026-04-15,2026-05-15,Net 30,16220,16220,N,
INV-10122,C024,Stonebridge Parts,2026-03-29,2026-04-28,Net 30,11220,11220,N,
INV-10123,C024,Stonebridge Parts,2026-03-29,2026-04-28,Net 30,8830,8830,N,
INV-10124,C024,Stonebridge Parts,2026-03-22,2026-04-21,Net 30,11570,11570,N,
INV-10125,C024,Stonebridge Parts,2026-03-12,2026-04-11,Net 30,12530,12530,N,
INV-10126,C025,Eastgate Materials,2026-04-26,2026-05-26,Net 30,26230,26230,N,
INV-10127,C025,Eastgate Materials,2026-04-25,2026-05-25,Net 30,37130,37130,N,
INV-10128,C025,Eastgate Materials,2026-04-21,2026-05-21,Net 30,60020,60020,N,
INV-10129,C025,Eastgate Materials,2026-02-12,2026-03-14,Net 30,50830,50830,N,
INV-10130,C026,Clearwater Industrial,2026-04-29,2026-05-29,Net 30,16280,16280,N,
INV-10131,C026,Clearwater Industrial,2026-04-25,2026-05-25,Net 30,15870,15870,N,
INV-10132,C026,Clearwater Industrial,2026-04-20,2026-05-20,Net 30,12820,12820,N,
INV-10133,C026,Clearwater Industrial,2026-04-03,2026-05-03,Net 30,7790,7790,N,
INV-10134,C026,Clearwater Industrial,2026-03-20,2026-04-19,Net 30,8680,8680,N,
INV-10135,C026,Clearwater Industrial,2026-03-17,2026-04-16,Net 30,6260,6260,N,
INV-10136,C026,Clearwater Industrial,2026-03-14,2026-04-13,Net 30,17120,17120,N,
