invoice_id,customer_id,customer_name,invoice_date,due_date,payment_terms,invoice_amount,open_balance,dispute_flag,dispute_reason
INV-10001,C001,Cascade Industrial Group,2026-03-26,2026-05-10,Net 45,121490,121490,N,
INV-10002,C001,Cascade Industrial Group,2026-03-15,2026-04-29,Net 45,170750,170750,N,
INV-10003,C001,Cascade Industrial Group,2026-03-13,2026-04-27,Net 45,64810,64810,N,
INV-10004,C002,Northwind Manufacturing,2026-05-10,2026-06-24,Net 45,45860,45860,N,
INV-10005,C002,Northwind Manufacturing,2026-04-27,2026-06-11,Net 45,59530,59530,N,
INV-10006,C002,Northwind Manufacturing,2026-04-20,2026-06-04,Net 45,35100,35100,N,
INV-10007,C002,Northwind Manufacturing,2026-04-11,2026-05-26,Net 45,54110,54110,N,
INV-10008,C003,Sterling Components Corp,2026-05-05,2026-07-04,Net 60,100650,100650,N,
INV-10009,C003,Sterling Components Corp,2026-04-08,2026-06-07,Net 60,95290,95290,N,
INV-10010,C003,Sterling Components Corp,2026-03-31,2026-05-30,Net 60,99930,99930,N,
INV-10011,C003,Sterling Components Corp,2026-03-18,2026-05-17,Net 60,78090,78090,N,
INV-10012,C004,Pacifica Materials Co,2026-05-06,2026-07-05,Net 60,51260,51260,N,
INV-10013,C004,Pacifica Materials Co,2026-04-24,2026-06-23,Net 60,44540,44540,N,
INV-10014,C004,Pacifica Materials Co,2026-04-03,2026-06-02,Net 60,49870,49870,N,
INV-10015,C004,Pacifica Materials Co,2026-03-23,2026-05-22,Net 60,22730,22730,N,
INV-10016,C004,Pacifica Materials Co,2026-03-14,2026-05-13,Net 60,59840,59840,N,
INV-10017,C004,Pacifica Materials Co,2026-03-01,2026-04-30,Net 60,55510,55510,N,
INV-10018,C005,Granite Peak Industries,2026-04-29,2026-06-13,Net 45,48980,48980,N,
INV-10019,C005,Granite Peak Industries,2026-04-29,2026-06-13,Net 45,70940,70940,N,
INV-10020,C005,Granite Peak Industries,2026-04-16,2026-05-31,Net 45,78620,78620,N,
INV-10021,C005,Granite Peak Industries,2026-04-04,2026-05-19,Net 45,39970,39970,N,
INV-10022,C006,Birch & Hollow Supply,2026-05-05,2026-06-04,Net 30,16510,16510,Y,Freight charges contested
INV-10023,C006,Birch & Hollow Supply,2026-04-21,2026-05-21,Net 30,10920,10920,N,
INV-10024,C006,Birch & Hollow Supply,2026-03-15,2026-04-14,Net 30,14800,14800,N,
